Message,Subject,Spam/Ham,Date
"Dear Customer, your account has been temporarily suspended due to suspicious activity. Please click here to resolve this issue immediately.",Your Account Has Been Suspended,spam,2021-04-12
"Hello, please review and update your personal information to maintain the highest level of security on our platform.",Update Your Personal Information Now,spam,2021-08-01
This email is from the event organizers. We have some good news for you! You can claim your prize by clicking on the link below.,Highly Urgent: Claim Your Prize,spam,2022-08-15
"Hi there, as a valued member, we would like to offer you exclusive access to our premium content. Click now to activate your benefits.",Access Your Exclusive Member Benefits,spam,2023-04-27
Subject line not provided. This is just an example body text.,Verify Your Credentials for Security Purposes,spam,2023-09-24
"Attention, this message is from your bank. We've identified a potential issue with your payment and need your confirmation to proceed.",We Found a Problem with Your Payment,spam,2020-05-22
"Hello, if you haven't received your refund yet, it's because there was an error processing your request. Please check your eligibility here.",Check Your Eligibility for a Refund,spam,2022-11-12
"Dear user, we noticed your login details have expired. To ensure your security, please reset them using the link below.",Complimentary Access to Premium Content,spam,2023-04-12
"Dear user, your account will be deleted in 7 days if no action is taken. Please update your profile information within the next 48 hours.",Your Login Details Have Been Expired,spam,2024-06-05
"Hello, this email is from our customer service team. We found a problem with your recent payment. Click here to resolve the issue.",Important: Your Account Will Be Deleted,spam,2024-11-20
Please verify your account details immediately as unauthorized access may have occurred.,Urgent Action Required,spam,2024-03-20
Congratulations! You've been selected for our exclusive VIP program. Claim your benefits now!,Your Account Will Be Suspended,spam,2024-12-06
Your recent purchase has been canceled due to an unknown issue. Please contact us for further assistance.,Claim Your Prize Now!,spam,2023-12-15
An unexpected error has occurred during your transaction. Please complete your payment using this link.,High-Value Job Opportunity,spam,2020-09-06
"Dear customer, we noticed suspicious activity on your account. To protect it, please reset your password here.",Exclusive Discount for You,spam,2021-10-09
We regret to inform you that your account will be permanently suspended unless you prove your identity by following these instructions.,Verify Your Identity Please,spam,2021-09-12
Your order has shipped. Track your package and view delivery updates directly through our website.,Important Update from [Company],spam,2023-10-25
"Thank you for choosing our service. As a token of appreciation, we're offering you a free trial of our premium services.",Win Big in Our New Game,spam,2023-01-22
We've detected unusual patterns in your account activity. Please confirm your identity and address to continue using our services.,Free Shipping Available,spam,2021-11-23
You've won a grand prize in our new lottery game. Claim your winnings before the deadline!,Access Your Private Files,spam,2022-02-14
Congratulations! Your lucky number is 7654321. Claim your prize now!,Win a trip to Vegas!,spam,2021-07-04
We've identified suspicious activity on your account. Please verify your details immediately.,Your Account Has Been Suspended,spam,2021-04-06
Limited-time offer: Get 50% off on all products this week only. Act fast!,$100 OFF Your Next Purchase!,spam,2024-03-25
Please update your account information before it expires. Your account will be suspended otherwise.,Update Required: Click Here Now,spam,2020-08-29
Don't miss out! We're offering a free gift card worth $50 for signing up today.,Exclusive Offer for You Only!,spam,2024-09-25
Join us now for our exclusive webinar: 'The Future of Technology'. Limited seats available!,Meeting Invitation: Join Now,spam,2023-03-13
Invest in our high-yield cryptocurrency portfolio. Risk-free trial available for 30 days.,High-Value Investment Opportunity,spam,2024-04-05
Your profile needs improvement. We've noticed some inappropriate content that must be removed.,Your Profile Needs Improvement,spam,2024-01-17
An urgent message from your bank: Your account has been flagged for fraudulent activity. Log in now.,Important Notice: Urgent Action Required,spam,2023-08-18
Access to our restricted content is granted to premium members only. Sign up now to gain full access.,Access to Restricted Content,spam,2020-11-10
Please confirm your account details immediately as we have detected suspicious activity. Visit our website to update your information.,Urgent: Your Account Has Been Suspected Of Fraud,spam,2020-11-14
Your account has been flagged for fraud. Please review this alert and resolve any issues within 24 hours to avoid account suspension.,Confirm Your Account Details Before It Is Too Late!,spam,2024-01-03
Important Update: Your subscription has expired. Click here to renew and continue enjoying our premium services.,High Priority: Important Update for Your Subscription,spam,2024-05-14
We have received a dispute regarding your recent purchase. Click the link below to provide us with further details.,Your Recent Purchase Has Been Disputed - Click Here To Learn More,spam,2024-07-06
Your new password has been sent to your registered email address. Please verify by clicking the link provided.,Your New Password Has Been Sent - Click To Verify,spam,2024-09-12
Congratulations! You've won a free eBook on maximizing your online presence. Click the link to claim your prize now.,Claim Your Free eBook on How to Maximize Your Online Presence,spam,2023-12-28
A new job opportunity is available for immediate start. Apply today before the deadline expires.,New Job Opportunity - Immediate Start Available,spam,2024-09-04
Warning: We have noticed unusual login activity from your account. Please verify your identity by following the instructions in this email.,Warning: Suspicious Activity Detected on Your Account,spam,2021-09-11
You have won a million dollar prize in our ongoing lottery draw. Click the link to claim your winnings.,You Have Won A Million Dollar Prize! Claim Now,spam,2022-02-07
Please verify your government-issued ID for account security purposes. Click the link to proceed.,Verify Your ID: Government Issued ID Required,spam,2020-05-06
Please confirm your account details as we have detected suspicious activity. Click here to verify.,Your Account Has Been Suspected,spam,2021-05-17
We have found some personal information missing from your account. Please update immediately to secure your account.,Verify Your Personal Information,spam,2023-05-20
Congratulations on winning a free gift! Claim your prize by clicking the link below before it expires.,Claim Your Free Gift Now!,spam,2022-11-19
Your account requires an urgent update. Click the button to access important information and protect your account.,Important Update for Your Account,spam,2022-04-03
Unlock your exclusive member benefits today! Click the link to start enjoying the perks now.,Access Your Exclusive Member Benefits,spam,2021-03-08
We need you to verify highly sensitive information to ensure the security of your account. Please respond as soon as possible.,Highly Sensitive Information Required,spam,2021-08-02
Your password needs updating due to security concerns. Please click the link to complete this process.,Update Your Password - Urgent,spam,2024-10-23
Congratulations on winning a prize! Visit our site to claim your reward and enjoy the free report.,Congratulations! You Won a Prize,spam,2022-11-30
This is your last chance to secure your account. Please click the link to login and verify your identity.,Download Your Free Report Here,spam,2021-09-04
We've received a request to update your account information. Click the link to proceed and protect your account.,Secure Your Account - Login Required,spam,2022-12-29
Please confirm your account details immediately as your account has been temporarily suspended due to suspicious activity. Click here to update.,Urgent: Your Account Has Been Suspended,spam,2022-06-07
