Message,Subject,Spam/Ham,Date
"Dear valued customer, your payment is overdue. Click the link to settle the outstanding balance.",urgent: your payment is overdue,spam,2022-04-11
Congratulations! You have been selected for an exclusive offer. Act fast before it expires.,exclusive offer for limited time only,spam,2021-10-10
You are a winner! Claim your prize now by providing your personal details.,claim your prize now,spam,2022-02-27
Don't miss out on this opportunity to get rich quick. Invest now and see your wealth grow.,get rich quick with this opportunity,spam,2023-08-08
Important notice: Your account requires immediate action. Click the link to verify your details.,important notice regarding your account,spam,2020-10-14
Please confirm your subscription details to continue receiving updates and offers.,confirm your subscription details,spam,2020-07-12
URGENT: Your account security has been compromised. Click to secure your information.,your account has been compromised,spam,2020-02-03
Experience our service with a free trial for new customers. Sign up today to enjoy the benefits.,free trial for new customers,spam,2020-06-28
Final reminder: Account verification is required to maintain access. Click to verify now.,final reminder: account verification required,spam,2020-10-10
Unlock access to hidden deals and savings. Click to browse exclusive offers.,unlock access to hidden deals,spam,2024-11-26
"Dear Sir/Madam, Congratulations! You have won a prize worth $1000. Click the link to claim your reward now!",Claim your prize now!,spam,2021-11-10
Don't miss out on this exclusive limited time offer! Get 50% off on all our products today only. Click here to shop now!,Exclusive limited time offer,spam,2020-04-20
Urgent action required: Your account verification has expired. Update your information immediately to avoid account suspension.,Urgent account verification required,spam,2022-08-30
Attention: Important security update. Your account is at risk! Click the link to secure your account now.,Important security update,spam,2022-03-28
Your order #12345 is on its way! Track your shipment by clicking the link below.,Your order is on its way,spam,2022-06-28
"Act now and enjoy a free trial of our premium service. Limited spots available, sign up today!",Free trial - act fast!,spam,2024-07-04
Please confirm your subscription details to continue receiving exclusive offers and updates. Click here to verify your information.,Confirm your subscription details,spam,2022-03-26
Unlock special deals and discounts today! Don't miss out on saving big on your next purchase. Click now!,Unlock special deals today!,spam,2022-07-12
Important message: You have pending notifications that require your immediate attention. Click here to read now.,Important message - read now!,spam,2020-05-14
Last chance! Don't miss out on this incredible opportunity. Click the link to claim your rewards before it's too late!,Don't miss out on this opportunity,spam,2022-08-07
Exclusive offer inside! Claim now!,Exclusive offer inside! Claim now!,spam,2024-08-29
Important account verification required,Important account verification required,spam,2021-12-16
Unlock your hidden wealth with this secret tool,Unlock your hidden wealth with this secret tool,spam,2023-05-23
Don't miss out on this limited-time deal,Don't miss out on this limited-time deal,spam,2022-06-27
Your package is waiting for collection,Your package is waiting for collection,spam,2021-03-02
Act now for a chance to win big!,Act now for a chance to win big!,spam,2023-03-23
Upgrade to premium for exclusive benefits,Upgrade to premium for exclusive benefits,spam,2020-07-04
Last chance to save on your favorite products,Last chance to save on your favorite products,spam,2020-08-30
Emergency alert: Time-sensitive information enclosed,Emergency alert: Time-sensitive information enclosed,spam,2024-02-05
You've won a free vacation package!,You've won a free vacation package!,spam,2020-01-24
"Dear valued customer, your monthly charges for analysts on your RC report have been processed. Please review the attached invoice and contact us if you have any questions.",monthly charges for analysts on your rc report,spam,2023-11-20
Congratulations! You have been selected as the winner of a 2000 customer trip proposal. Claim your prize by clicking the link below.,2000 customer trip proposal,spam,2024-08-07
"Ami, we have an exclusive offer just for you. Click the link to learn more.","ami , , , ,",spam,2021-07-31
This message has been forwarded by Ami Chokshi from Corp. Please review the attached document for important information.,- - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 01 / 27 / 2000,spam,2020-04-04
"Dear customer, HPL Liquids is offering a special promotion in collaboration with Exxon. Click the link to learn more.",hpl liquids / exxon,spam,2021-11-22
URGENT: You have won a prize! Claim your reward now by clicking the link below.,urgent: claim your prize now!,spam,2023-04-07
"Ami, you are eligible for an exclusive limited offer. Act fast before it expires!",exclusive limited offer just for you,spam,2024-07-21
Important security update: Your account is at risk of being compromised. Take action immediately by clicking the link.,important security update - action required,spam,2020-03-11
Your account has been compromised. Act now to secure your information. Click the link below to verify your details.,"your account has been compromised, act now",spam,2023-12-05
Final notice: Your account will be suspended if you do not take immediate action. Click the link to prevent suspension.,final notice: your account will be suspended,spam,2024-04-19
fyi - new product on eol,Important message from IRS,spam,2022-07-01
cdnow shipment confirmation,Exclusive offer just for you,spam,2023-02-19
1999 hpl unaccounted for,Your account needs attention,spam,2024-12-30
nomination - eastrans - 3 / 7 / 2000,Limited time discount inside,spam,2023-06-15
president @ juno . com : exciting news - free internet access !,Unpaid invoice reminder,spam,2023-07-10
Payment overdue notice - action required,Urgent action required,spam,2024-07-15
Special offer - limited time only,"Congratulations, you've won!",spam,2020-01-17
Claim your prize now - click here for details,Verify your account details,spam,2020-05-01
Urgent message regarding your account security,Don't miss out on this opportunity,spam,2022-06-07
Exclusive invitation - don't miss out!,Claim your prize now!,spam,2020-05-23
"jan net position - revised

 e - mail

 march 1 noms

 change name on pipeline , contract no . teco 9121 , global contract no .

 april vacation",Important Update Required,spam,2024-01-19
"Dear Customer,

 We regret to inform you that your account has been compromised. Please click the link below urgently to secure your account.

 [Malicious Link]",Exclusive Limited Time Offer,spam,2022-04-20
"Greetings,

 Congratulations! You have been selected as the winner of our exclusive raffle. To claim your prize, simply reply to this email with your personal details.

 Regards,
 Prize Claim Department",URGENT: Verify Your Account Information,spam,2022-08-23
"Hello,

 Your recent payment of $500 has been confirmed. Thank you for your purchase. Please click the link below for further details.

 [Malicious Link]",Your Payment Confirmation,spam,2020-02-18
"Dear User,

 Urgent action required! Please verify your account information immediately to avoid any service disruptions.

 Click here to verify now: [Malicious Link]",Important Document Attached,spam,2021-06-05
"Good day,

 An important document is attached to this email for your review. Kindly download and review the document at your earliest convenience.

 Thank you.",Claim Your Prize Now,spam,2022-12-04
"Dear Valued Customer,

 You have been selected for a special invitation. Please respond to this email to secure your spot for our exclusive event.

 Regards,
 Event Coordinator",Congratulations! You've Won,spam,2022-10-03
"Greetings,

 Act fast before it's too late! Limited time offer to save big on your next purchase. Click the link below to avail of this exclusive discount.

 [Malicious Link]",Last Chance to Save Big,spam,2024-10-22
"Hello,

 Last chance to save big! Don't miss out on our special promotion. Click the link below to take advantage of this offer before it expires.

 [Malicious Link]",Special Invitation Inside,spam,2023-03-14
"Dear Customer,

 You are a winner! Congratulations on winning our grand prize. To claim your reward, please reply to this email with your contact information.

 Regards,
 Prize Department",Act Fast Before It's Too Late,spam,2020-02-23
entex monthly mtg . eb 37 cl,claim your free gift now,spam,2021-12-23
yvette ooto,urgent message from bank,spam,2021-10-09
re : 12 / 99 k ' s needed and 1 / 2000 k ' s needed,exclusive limited time offer,spam,2021-12-13
updated buyback worksheet,your account needs immediate attention,spam,2022-11-06
fw : monday evening ' s gas flow,confirm your payment details,spam,2021-08-17
claim your free gift now,important security update required,spam,2024-04-14
urgent message from bank,special discount for loyal customers,spam,2024-09-25
