Message,Subject,Spam/Ham,Date
Attention! You've been selected as a winner of our latest giveaway. Click the link to claim your prize now!,Exclusive Offer Inside!,spam,2024-02-16
Act quickly to secure your exclusive discount on popular products. Limited time offer!,Urgent Action Required - Immediate Response Needed,spam,2023-12-19
Your account requires immediate attention. Please update your information to avoid service interruptions.,Congratulations! You've Won a Prize,spam,2022-10-18
Unlock VIP access to premium content with our special membership offer. Don't miss out!,Limited Time Only - Special Discount for You,spam,2021-01-08
Congratulations on your recent purchase! Your payment confirmation is attached for your records.,Important Notification Regarding Your Account,spam,2020-11-27
Don't miss this incredible opportunity to save big on your next purchase. Shop now!,Unlock Access to Premium Content Now,spam,2024-12-03
"Claim your free gift with your next purchase. Limited quantities available, act fast!",Don't Miss Out on This Incredible Opportunity,spam,2021-06-09
Urgent action required - Activate your account now to avoid suspension.,Your Payment Confirmation is Ready,spam,2024-12-29
Special discount alert! Enjoy unbeatable savings on select products for a limited time only.,Claim Your Free Gift Today,spam,2023-07-07
Your exclusive offer awaits! Unlock access to premium features today by clicking the link.,Act Fast - Fantastic Deals Await You,spam,2023-10-02
"Dear Valued Customer,

Your account information needs to be verified immediately. Click the link below to update your details:

[Phishing Link]",URGENT: Please verify your account information now,spam,2021-12-11
"Congratulations! You've been selected for an exclusive limited time offer. Act fast to claim your special discount:

[Malicious Link]",Exclusive limited time offer for you,spam,2023-01-04
"We regret to inform you that your package has been delayed. Click here for more information and to track your shipment:

[Infected Link]","Your package has been delayed, click here for more information",spam,2021-10-11
"Dear Customer,

It's time to update your payment details for security reasons. Please click the link below to provide the necessary information:

[Fraudulent Link]",Important reminder: Update your payment details,spam,2022-01-18
"You are our lucky winner! Enjoy a free vacation to your dream destination. Click here to claim your prize:

[Scam Link]",Congratulations! You've won a free vacation,spam,2024-01-26
"Claim your prize today by clicking the link below. Don't miss out on this limited time opportunity!

[Phishing Link]",Claim your prize today! Act now,spam,2023-09-08
"Great news! Your order has been processed successfully. Click the link below to track your shipment and view order details:

[Malware Link]",Your order has been successfully processed,spam,2020-12-07
