Message,Subject,Spam/Ham,Date
"Dear Customer, please verify your account immediately as we have received multiple suspicious activities. Click here to confirm your identity: [link].",Urgent: Your Account Has Been Suspected Of Fraud,spam,2022-02-14
Congratulations! Your application has been approved for a free trial. Click the link below to start your trial now.,Official PayPal Invoice for $123.45,spam,2021-03-09
Please find attached your latest utility bill. Your payment is overdue and will result in service suspension.,Your Package Is Ready For Pickup At [Store],spam,2020-04-30
We have received an unexpected number of failed login attempts from your account. Please change your password immediately to secure your account.,Claim Your Free Gift Card Now! Code: ABCD123,spam,2023-07-23
You have won a free gift card worth $50. Click the link to claim it before it expires: [link].,High-Tech Security Alert: Protect Your Data Today!,spam,2023-12-02
Your package has shipped and is on its way. Track it at this link: [link].,Exclusive Offer: Get 50% Off on Your Next Purchase,spam,2022-08-16
We have detected suspicious activity on your account. Please update your billing information immediately to prevent further issues.,Notice: Update Your Personal Information for Security Purposes,spam,2020-03-22
Your order has been placed successfully. We will contact you shortly with further details and shipping instructions.,Reminder: Payment Due On [Date] for [Product/Service],spam,2023-12-14
Your personal information needs to be updated to comply with new data protection laws. Click the link below to proceed.,Congratulations! You Have Won A Prize - Claim It Now!,spam,2022-12-07
A new security feature has been activated on your account. Please follow the steps in the email to complete the setup.,[Company Name]: Important Notice Regarding Your Order,spam,2022-08-13
Congratulations! Your account has been compromised. Click here to secure it now!,mitchell gas services 2 / 00,spam,2023-10-04
Urgent action required: Your account is flagged for suspicious activity. Review your transactions immediately.,mtbe upsets,spam,2020-04-30
MTBE Upsets: Get exclusive discounts on our latest products and services.,copano's changes for 7 th,spam,2021-02-20
Copano's Changes for 7th: Important updates affecting your services. Read more.,meter 9769 jan 00,spam,2021-01-14
Discount Codes for Your Account: Use these codes to get exclusive deals. Valid until midnight.,the new power company,spam,2023-09-12
Meter 9769 Jan 00: Your bill details have changed. Review your payment information.,urgent action required,spam,2023-08-13
The New Power Company: We're offering a free trial of our new energy plans. Sign up today.,discount codes for your account,spam,2021-03-15
Mitchell Gas Services 2/00: Check your recent gas usage and savings opportunities.,your account has been compromised,spam,2021-01-18
Special Offer: Free Trial Available: Try our innovative solutions risk-free for 30 days.,check your credit card charges,spam,2023-10-05
Urgent: Please confirm your identity and update your password immediately.,special offer: free trial available,spam,2020-09-14
re : 98 - 6892 for 3 / 15 / 2000 and 3 / 23 / 2000,uRGe sOn 90s MUSIC,spam,2021-11-26
may hours survey,gEt A 24/7 Support,spam,2022-10-12
marketing services / scheduling,uPdAtE YoUr pOInTs & cOupOns,spam,2020-07-12
meter 1517 - 12 / 99,hAvE A 15% Off tOday,spam,2021-02-24
natural gas nomination for 05 / 00,gEt The Latest tHrEeDThInG,spam,2021-04-04
uRGe sOn 90s MUSIC,lOoK At tHe nExt nEwS,spam,2023-07-17
gEt A 24/7 Support,hAvE A cOmFOrtablE sLeep,spam,2021-07-15
uPdAtE YoUr pOInTs & cOupOns,gEt tHe Best cOnsultAtion,spam,2020-01-26
hAvE A 15% Off tOday,gEt tHe mOst lIfEThAnking,spam,2020-11-06
gEt The Latest tHrEeDThInG,hAvE A cOmFOrtablE dEvElOpMent,spam,2021-09-30
re : sales to panenergy at exxon clear lake for 2 / 99,urgent action required,spam,2020-12-25
"hpl nomination for december 30, 1999",check your account balance,spam,2022-09-18
bennington / lamar power ua 4 data,discount code available,spam,2023-05-10
purchasing computer equipment,verify your identity now,spam,2021-06-04
shut - in of meter 0984179 hoff heller unit 22 cdp,click here to claim your prize,spam,2023-03-12
urgent action required - please verify your account immediately,new job opportunity,spam,2021-04-18
check your account balance - we have detected suspicious activity,your package has shipped,spam,2021-07-09
discount code available - use this code for 50% off your next purchase,limited time offer,spam,2021-04-03
verify your identity now - update your information to continue using our services,password reset,spam,2023-03-26
click here to claim your prize - you've been chosen for a special offer,confirm your email address,spam,2023-02-18
"organizational changes
june vacation",confirm your new password,spam,2023-05-29
"re : pennzoil avails
nom 5 / 1 ( revised ) - eastrans",important account update,spam,2021-10-29
texas & hplc deals that end 2 / 28 / 00,payment required for service,spam,2020-01-05
"highly confidential: access details
june vacation",urgent: verify your information,spam,2020-09-21
"discount codes available now
re : pennzoil avails",highly confidential: access details,spam,2022-03-07
"urgent: verify your information
texas & hplc deals that end 2 / 28 / 00",discount codes available now,spam,2024-08-26
"win a free gift: enter code
nom 5 / 1 ( revised ) - eastrans",win a free gift: enter code,spam,2022-03-18
"emergency: contact your support
nom 5 / 1 ( revised ) - eastrans",account activation: click here,spam,2021-02-09
"update your subscription details
june vacation",update your subscription details,spam,2021-03-14
"confirm your new password
texas & hplc deals that end 2 / 28 / 00",emergency: contact your support,spam,2020-02-26
cp name change / merger list for 2 / 2000,URGENT: Your Account Will Be Suspended,spam,2024-05-06
meter 1431 - nov 1999,Official: New Job Offer Confirmation,spam,2022-01-29
meter # 1591 lamay gas lift,Highly Confidential: Access To Exclusive Content,spam,2022-09-25
the new power company,Payment Due: Confirm Your Billing Information,spam,2021-01-31
global risk management operations,Important: Update Your Personal Details Now,spam,2024-08-01
cp name change / merger list for 2 / 2000,Win Big: Enter Our Daily Lottery Here,spam,2021-01-15
meter 1431 - nov 1999,Sensitive Information Required: Security Check,spam,2020-04-29
meter # 1591 lamay gas lift,Claim Your Free Gift: Limited Time Offer,spam,2024-10-04
the new power company,Notice: Your Subscription Will Expire Soon,spam,2021-06-12
global risk management operations,Verify Your Identity: Secure Your Account,spam,2021-10-11
test,98-1601,spam,2021-01-16
"energy operations, gas operations - organizational changes",energy operations gas operations - organizational changes,spam,2023-02-02
re:,re: energy operations gas operations - organizational changes,spam,2020-11-11
organizational changes,re: nomination - 2 - 23 - 2000,spam,2022-03-27
re: nomination - 2 - 23 - 2000,urgent: update required for your account,spam,2024-10-31
urgent: update required for your account,verify your identity now - urgent action needed,spam,2022-03-20
verify your identity now - urgent action needed,high value offer - click to claim,spam,2021-11-29
high value offer - click to claim,your package has been shipped - tracking info,spam,2023-05-03
your package has been shipped - tracking info,government grant application - immediate action required,spam,2021-05-04
government grant application - immediate action required,limited time offer - special discount available,spam,2023-08-02
your bid is selected for cesees,nominaton 2-11-2000,spam,2023-03-24
please review the attached documents before april 14th,out for jurdy duty,spam,2020-02-03
immediate action required for ces urgent matters,april lst nom.,spam,2023-12-03
please update your personal information as soon as possible,monthly managemnt lunch,spam,2020-02-05
our monthly management meeting is rescheduled to june 5th,ces deals,spam,2024-08-19
win big in our upcoming lottery draw - claim your prize now,act now offer ends soon,spam,2020-07-27
urgent: verify your account details to avoid account suspension,urgent your info needed,spam,2023-01-16
please complete your registration process at your earliest convenience,win big lottery ticket,spam,2024-06-17
"your nomination has been selected for nomination 2-11-2000, please review the attached document",please confirm payment details,spam,2020-11-22
we have received your application for jurdy duty and will be in touch shortly,check this out immediate action required,spam,2021-08-18
enron mid-year 2000 performance management process,enron mid - year 2000 performance management process,spam,2020-04-30
fyi,fyi,spam,2024-02-02
re : hl & p for 12/99,re : hl & p for 12 / 99,spam,2024-12-04
registration confirmation - my yahoo!,registration confirmation - my yahoo!,spam,2020-04-10
revised volumes,revised volumes,spam,2022-04-10
unbelievable offer you won't believe,unbelievable offer you won't believe,spam,2023-05-08
urgent: your account may have been compromised,urgent: your account may have been compromised,spam,2023-09-29
exclusive invitation to join our private network,exclusive invitation to join our private network,spam,2024-02-25
claim your free gift now - limited time offer,claim your free gift now - limited time offer,spam,2020-10-01
please find attached your requested information,please find attached your requested information,spam,2024-01-07
test,producer shut-in list for victoria 18 line work,spam,2021-12-13
title2,valero-meter 8018,spam,2022-01-06
re : valero - - meter 8018,transaction confirmation sheets,spam,2023-02-10
transaction confirmation sheets,pg&e texoma volumes,spam,2022-01-06
re : pg & e texoma volumes,copano line gain contract needed at meter 5310,spam,2021-03-17
re : copano line gain contract needed at meter 5310,urgent: your account has been compromised,spam,2021-04-02
urgent: your account has been compromised,confirm: package delivery to 1234 oak lane,spam,2022-01-16
confirm: package delivery to 1234 oak lane,exclusive offer: join our premium club now,spam,2022-09-22
exclusive offer: join our premium club now,"reminder: pay your bill by friday, or face penalties",spam,2020-08-06
"reminder: pay your bill by friday, or face penalties",discount alert: save 20% on your next purchase,spam,2020-11-26
