Message,Subject,Spam/Ham,Date
"Dear valued customer, you've been chosen! Click the link below to secure your exclusive spot in our elite VIP event. Limited access, don't miss out. https://bit.ly/VIPExclusiveEvent",Congratulations! Claim your FREE VIP Tickets Now!,spam,2024-06-05
Alert: Your account is at risk! Immediate action required. Verify your identity within 24 hours or face permanent account suspension. http://bit.ly/AccountAlert,You've been selected! Limited Time Offer - Exclusive Money Earning Opportunity,spam,2024-01-02
Unlock your hidden potential today! We have a guaranteed way to double your income without leaving your home. Click here to sign up now. http://bit.ly/DoubleIncome,URGENT: Update Your Account Details Immediately to Avoid Account Suspension,spam,2020-04-19
This is urgent: Update your LinkedIn profile and receive a premium badge right away! Become more visible in your professional network. www.linkedin.com/premium/update,"Infinite Wealth: Turn $0 into $1,000,000 with Simple Click",spam,2020-10-03
"Claim your prize now! Your personalized NFT artwork awaits. Don't wait, thousands of pieces already sold out. https://bit.ly/ExclusiveNFTArt",You've Won a $500 Gift Card! Claim Now Before It's Too Late,spam,2020-08-06
Urgent action needed! Your subscription to our newsletter is about to expire. Renew your membership for free to receive weekly updates on our latest offers. http://bit.ly/NewsletterSubscription,Important Notice: Your Bank Account Awaits with Large Sum Savings,spam,2020-05-10
You are a secret millionaire! Click below to claim your share of the $1 Million lottery jackpot. It's your lucky day! https://bit.ly/MillionLottery,Exclusive Invitation: Join Our Premier Members Club – Limited Spots Available,spam,2023-10-27
Improve your home's value with our revolutionary home improvement kit. Order today for a huge discount and free shipping. www.homeimprovementdeals.com/special,Act Now: Save Big on Our Internally Discounted Luxury Cruise,spam,2020-09-29
This is your lucky day! An exclusive invitation to our VIP webinar with industry leaders. Reserve your seat now for this rare opportunity. https://bit.ly/VIPWebinar,NFT Collection Now Available: Exclusive Edition for Early Birds,spam,2024-07-01
You've won an all-expenses-paid vacation! Just fill out the form below to claim your prize and travel to paradise. www.expensivevacations.com/win,Emergency Support Needed: Immediate Assistance Required for Your Friends/Family,spam,2022-05-24
Your bank account has been compromised! Act now by following the link to secure your assets. Click here to reset your password immediately. https://bit.ly/AccountCompromisedReset,Win Big with Our Exclusive Money-Making Opportunity!,spam,2022-06-29
"Congratulations! Your Easy-to-Withdraw Prize Is Ready. Click Now! Dear Wealth Enthusiast, get ready to transform your life as we offer you a once-in-a-lifetime chance to win a fortune. Just verify your details, confirm your interest, and join our exclusive fortune circle. Click the link below to claim your destiny now - this opportunity only lasts for 24 hours. Link: [malicious-link]",You've Been Selected: Claim Your Easy Overseas Lottery Winnings!,spam,2020-11-23
"Important Account Update Required Immediately - Action Needed! Attention Valued Subscriber, it has come to our immediate attention that a crucial update is awaiting your prompt action. Please click here to rectify and ensure the uninterrupted service of your account. [malicious-link]",Important Account Update Required Immediately - Action Needed!,spam,2023-01-19
"Urgent: Update Your Personal Information to Avoid Service Termination! Dear Subscriber, this is an urgent call to action regarding your account. Failure to update your personal information promptly may result in account suspension. Click here to update your details before [expiration-date]. [malicious-link]",Infinite Wealth Awaits: Click Here to Access Your Share in Our Hot Investment Opportunity!,spam,2021-08-13
"Infinite Wealth Awaits: Click Here to Access Your Share in Our Hot Investment Opportunity! Esteemed Investor, immerse yourself in unparalleled potential with our revolutionary investment opportunity. Secure your stake now by clicking the link provided and join us on this thrilling journey to financial prosperity. [malicious-link]",Unlock Secret Discounts: Join Our VIP Club Today!,spam,2021-03-04
