Message,Subject,Spam/Ham,Date
"Claim your exclusive, lifetime membership to our private online forum. Just click the link and enter the code we've provided. Membership fee waived for this special offer.",Win a Brand New Tesla Model 3!,spam,2021-11-13
"You're invited to join our elite community of investors. To get started, submit your financial details via the attached form and choose from our diverse investment package options.",You've been selected for a once-in-a-lifetime luxury trip!,spam,2024-12-10
Review your account now! Offer ends in 24 hours - missing out on this chance to double your savings. Click here to update your payment methods and avail benefits.,Incredible Opportunity: Exclusive Early Access to Our New Product Line!,spam,2022-11-08
"Attention tech enthusiasts! You've been selected for the beta version of our revolutionary software, available for a limited time only. Click below to activate your exclusive early access.",URGENT: Update Your Account Information Now to Avoid Service Interruption!,spam,2021-03-02
"Alert: Your account has been compromised. To prevent further unauthorized transactions, please update your password immediately using the link below.","Congratulations! You've won $10,000! Claim Your Prize Today!",spam,2020-01-11
Hurry! Pre-sale alert for our new line of designer watches. Secure your piece at a discounted rate just by completing the form provided.,Exclusive Invitation: Join Our VIP Club and Receive Special Discounts!,spam,2022-04-11
Get an inside scoop! You're on the shortlist of top contributors to our upcoming documentary. Proceed to the form to confirm your interest and exclusivity benefits.,Immediate Action Required: Protect Your Account with Our Free Security Tool!,spam,2024-04-16
"Congratulations on being awarded the 'Global Citizen of the Year'! Claim your $5,000 prize by following the instructions in the email. Deadline: End of the week.",You're A Friend of Ours: Unlock Special Perks and Early Access!,spam,2020-09-03
Alert for loyal subscribers: Your subscription is about to expire. Renew now and enjoy unlimited access to premium content. Extra points to those who renew within the next 48 hours.,Last Chance to Grab Big Savings on Popular Electronics - Limited Offer!,spam,2023-12-22
Action required: Your business account requires verification update to continue service. Submit required documents through the link provided to avoid disruptions.,Confidential Legal Notice: Compliance Action Required Immediately!,spam,2022-08-14
Important: Your recent purchase has been flagged. Please confirm your billing information to avoid cancellation of your order. Click the link below to update your details.,Money Revelation: Unlock Secret Wealth,spam,2023-01-21
"Hello dear friend, you've won an unbelievable investment opportunity! Claim your share of our revolutionary energy stocks now. Don't miss out – limited time offer exclusively for you. Contact us immediately to start reaping the benefits.",Urgent: Confirm Your Account Details Within 24 Hours,spam,2024-11-16
"URGENT: Your bank account is at risk. Immediate verification of your details is required within 24 hours to prevent account closure. Do not ignore this message, as your assets are in jeopardy.",Exclusive Invitation: VIP Access to Secret Auction,spam,2020-05-28
"You are being invited to an elite auction where only a select few, including you, will have the chance to view rare and secret items. Confirm your attendance now and be part of this exclusive event.",Win a Brand New Car - Limited Offer Only!,spam,2021-10-22
Get ready to be amazed! Just one click away is a chance to win a prestigious sports car. The prize is yours if you act fast before our offer ends. Click here to claim your dream car.,You've Been Selected for a Lifetime Insurance Deal,spam,2024-11-11
You have been chosen for a once-in-a-lifetime opportunity to secure a lifetime insurance plan at an unbeatable price. Click to accept and enjoy the financial peace of mind today.,Important: Update Your Personal Information Now,spam,2023-10-08
"Our records indicate that there's an issue with your personal details. To avoid further complications and ensure your privacy, kindly update your information with us right away.",Single Click to Get Huge Discounts on Health Products,spam,2023-10-21
"Experience unbeatable prices now! With our single-click purchase option, start saving on essential health products. Hurry, this offer is valid for a short time only.",Limited Time: Access to Secret Government Files,spam,2023-10-16
This is not a drill. You have been given privileged access to classified government documents. Protect your right to information. Click here before it's too late.,Grandparent Alert: Immediate Action Required,spam,2024-01-11
Alert: Your grandparent's safety is paramount. We need your immediate assistance to resolve a critical situation. Please follow the provided instructions without delay.,Special Code for Unlimited Data: Code Expires Tonight,spam,2023-12-22
"Limited time offer! Use code SECRETCODE at checkout to unlock a world of unlimited data access. But be aware, this promotional code expires tonight. Don't waste any time.",Exclusive Deal Ends Soon!,spam,2021-02-07
"We noticed inconsistencies in your billing statement. To correct any errors and ensure accurate charges, we require your prompt verification. Please log in via the secure link below.",You've Won a Free Trip! Claim Now,spam,2022-12-14
We have detected unusual activity on your account. Immediate wire transfer needed to secure your funds. Please click the link below to verify your identity and complete the transfer process.,Urgent: Update Your Account Information,spam,2020-08-30
Join our VIP club and get exclusive deals just for you. Unlock special discounts and offers with your unique code.,Infinite Riches Await You!,spam,2023-05-20
Limited time offer - act now to claim your free premium service. Expires in 24 hours. Click the link to register your details.,Congratulations! You’re the lucky winner!,spam,2022-05-13
Investment opportunity with high returns guaranteed. Transfer your funds now to start earning rewards.,Important: Unauthorized Access Detected,spam,2022-04-18
Important account update - verify immediately to avoid suspension. Provide your personal information through the secure form.,Final Notice: Stop Paying Late Fees,spam,2020-08-05
Secret shopper discount details revealed. Submit your identity to receive exclusive coupons for your next shopping spree.,Instant Cash Release - Click Here,spam,2020-03-16
Request for personal information - secure submission required. Complete form to receive a special reward.,"Hack Your Way to a $10,000 Lottery Prize",spam,2023-10-24
Money transfer - compliance required. Please submit the necessary documents to ensure a smooth transaction process.,Invest in Fast Track Wealth Creation Opportunity,spam,2022-04-10
Family emergency - confidential. Immediate action required. Send funds via secure transfer.,urgent wire transfer needed,spam,2020-11-01
Free trial of premium service ends soon. Registration deadline approaching - join now to avoid losing access.,exclusive deals just for you,spam,2025-01-01
"Dear lucky winner, you've been randomly selected to receive our high-value gift just for you! Click here to claim now before it's gone forever.",limited time offer - act now,spam,2022-11-23
"You have been chosen for an exclusive opportunity! To qualify, please reply with your full name and social security number.",investment opportunity with high returns,spam,2023-01-10
Immediate action required: Your account login details have been temporarily suspended for security reasons. Visit our site now to restore access.,important account update - verify immediately,spam,2020-06-29
"Last-minute alert: Act swiftly to unlock a special 70% off discount on our newest products. Hurry, this offer expires at midnight.",secret shopper discount details,spam,2024-11-09
"Inside this message lies the secret to your success. To join our inner circle, please wire payment for your private consultation fee.",request for personal information - secure submission,spam,2024-12-27
Congratulations! Your long-awaited package is now en route. Track your delivery status via the link provided. Expedited shipping costs included.,money transfer - compliance required,spam,2024-07-09
Urgent: Your recent transaction requires verification. Provide your credit card details and bank account number to confirm the process.,family emergency - confidential,spam,2021-02-24
"Special delivery: A mysterious gift just arrived for you. Access the link below to receive your surprise. Remember, revealing its contents may result in penalties.",free trial of premium service ends soon,spam,2021-03-16
Do not miss out! Pre-register for an absolutely free lifetime subscription to our premium service. Terms and conditions apply. Limited to 10 registrations.,Incredible Opportunity: Limited Time Offer!,spam,2022-06-21
"Confidential update: Your account login has been locked. To avoid permanent closure, visit our security page and reset your password using the provided link within 24 hours.",You've been selected: Claim Your Exclusive Prize!,spam,2022-09-20
Congratulations! You've just won a trip to the Bahamas. Click the link to claim your non-refundable prize. Don't miss out!,Urgent: Update Your Account Information Now!,spam,2020-07-29
Alert: Immediate action required! Update your email and password now to avoid account suspension. Secure your details at work.gov2.com,Last Chance: Exclusive Discount for Quick Clicks,spam,2021-04-17
"Limited time only! Get 60% off on high-end headphones, exclusively for you. Click the enclosed ad now - Offer ends in 2 hours!",Unlock Secret Connections: Elite Networking Event Invitation,spam,2024-08-09
You are a lucky winner of our $1000 tech gadget giveaway. Please fill in your personal info on our website gadgetgiveaway.com within 48 hours to claim your prize.,Your Order Has Been Shipped - Confirm Now!,spam,2024-03-30
Emergency Response: Your credit card details have been compromised. Verify your account by clicking on the link below before any unauthorized charges appear on your statement.,Important Notice: Account Verification Required Immediately,spam,2022-12-12
"Last Chance! Win a private jet experience at a discounted price of $50,000. To claim your winnings, click here - Offer valid until 11:59 PM tonight.",We've Received Your Request: Exclusive Access Details Inside,spam,2022-11-27
"Claim your surprise! We've sent you a package in error. Please return it to us at our address 12345 Good Returns Drive, or call our hotline for a free gift inside.",Act Now: Limited Time Free Trial Ends Soon,spam,2022-05-21
Sign up for immediate access to an investment opportunity with guaranteed returns of 150% in under 3 months. Call our investment firm at invest4profit.com now!,Incredible Savings Await: Register for Early Bird Access,spam,2022-12-09
Family Reunion Alert: Save your spot at The Grand Event. Secrets and surprises await. Reserve your place here - Limited slots available!,Exclusive Invitation: Win a Dream Vacation!,spam,2021-05-01
Intriguing news in the world of romance - your heartbeat is the code to claim an exclusive love package. Click now to find out more from loveadventures.com/heartbeat,You've Been Selected: Unlock Special Rewards!,spam,2020-06-01
Revolutionize your life! Invest in our groundbreaking health supplements and enjoy free delivery. Claim your free samples at wellnessind.com/special,Urgent: Update Your Account Information Immediately,spam,2024-02-28
"Bear in mind that your account is at risk without our new security feature, which will be enabled immediately. Do not ignore this urgent update!",Limited Offer: 50% Off on Popular Gadgets,spam,2023-06-25
"Greetings esteemed winner! You are now the proud recipient of a complimentary trip on our luxury cruise line. This exclusive offer has ended, hurry to secure your spot!",Important Notice: Your Subscription Expires Soon,spam,2023-01-03
Join our exclusive circle of investors and experience unparalleled financial growth. Our patented strategy promises returns that defy the market's average. Immediate action required!,Emergency: Access Your Account Now - Time-Sensitive Alert,spam,2023-04-09
You have been selected to receive the prestigious Golden Globe Award for your outstanding contributions to the film industry. Please confirm your details to proceed with the official commendation.,Surprise Package Inside: Claim Now!,spam,2020-12-23
"Our records indicate a change in your account settings. To maintain account integrity and avoid service interruption, it's imperative to reset your password promptly. Failure to act may result in account suspension.",Lost & Found: Reward for Returning Your Lost Item,spam,2020-07-23
Exclusive members-only offer: Purchase an item and receive an identical one absolutely free! This irresistible limited-time deal is exclusively reserved for our loyal customers. Don't let it slip away!,Investment Opportunity: High Returns Guaranteed,spam,2022-05-30
The success of your professional endeavors is highly contingent on maintaining updated contact details. Kindly verify and update your information in line with our regulatory compliance requirements.,Family Reunion Invitation: Save Seats for Your Loved Ones,spam,2023-10-08
Final Alert: Exclusive discount codes available only for a short window today. Visit our site immediately to access savings on top-tier products before the offer expires,Urgent: Secure Your Account Now!,spam,2020-02-10
Tap into the realm of our members' club. Exclusive deals await our subscribers. Act now to secure your privileged access before it's too late.,You've Won a Free Cruise! Claim Now - Limited Time Offer!,spam,2024-12-16
"Alert: Security team has spotted unusual transaction patterns on your account. To protect your financial security, it is critical for you to verify your identity and update your security settings urgently.",Investment Opportunity: High Returns Guaranteed!,spam,2021-06-11
"Last-minute discount alert for our trendsetting gadgets! Shoppers, this is your moment! Grab your desired items at unprecedented savings, yet hurry, as the deadline is looming.",Congratulations! You're Selected for a Special Award.,spam,2020-09-22
Claim your $500 Bonus now! Limited time only. Click here to unlock your fortune.,Important Update: Account Password Reset Required - Immediate Action,spam,2020-06-10
Your personal account details have been updated. Please verify your email at imminentdeal@secure.com within 24 hours.,Exclusive Deal: Buy One Get One Free on High-Demand Products,spam,2023-07-22
"You are a lucky winner! A free all-expenses-paid vacation to the Maldives is yours. To redeem your ticket, follow this link: http://traveldeals.maldives/vacation",Request: Update Contact Information - Mandatory Policy Compliance,spam,2023-12-28
"Exclusive offer: Double your shopping experience! Buy one, get one absolutely free. Don’t miss out - offer valid until midnight.",Last Chance: Discount Offers End Tonight - Shop Now!,spam,2021-08-13
URGENT: Immediate action required. Your account has been locked due to suspicious activity. Click here to unlock your account: login.safe.com,Do Not Miss: Limited Time Offer - Exclusive Access for Subscribers,spam,2021-02-25
"Last chance alert: Grab your 50% off on our bestselling products! Use code: DIVE20 at checkout. Hurry, stocks are limited!",Alert: Unusual Activity Detected on Your Account - Verify Details,spam,2024-02-11
Exciting news! You're selected for our VIP survey. Please click here to start participating in our exclusive feedback program: survey.exclusive.com,Exclusive Invitation: Claim Your $500 Bonus!,spam,2022-05-06
Get ready for a massive discount! Save 50% on this weekend's collection. Use code: LATEST40 at participating stores. Don't wait!,Urgent: Update Your Account Information Within 24 Hours,spam,2020-05-27
Order #7654 processed. Please confirm receipt by replying to this email: orderconfirmation@store.com with your order number.,You've Won a Free Trip to Paradise! Claim Now!,spam,2024-10-26
Congratulations! You've been chosen for our grand monthly giveaway. Claim your prize by clicking here: raffle.win-bigtime.com,Incredible Deal: Buy One Get One Free on All Products,spam,2021-12-07
Alert: Your recent payment was declined. Please update your card details at payments.bank.com to avoid further issues.,Important Notice: Your Account Has Been Suspended,spam,2020-02-18
Congratulations! You've been selected for an exclusive offer. Click the link below to unlock a luxury watch collection for just $99. Limited time only!,"Last Chance: Buy One, Get One Free - Expires Tonight",spam,2023-02-10
"Alert: You're a lucky winner! Claim your free vacation package to the sunny Bahamas. Hurry, spaces are filling fast!",Alert: Your Email Has Been Selected for Our Exclusive Survey,spam,2022-04-20
"Urgent: We detected irregular activity on your account. To secure your account, please verify your identity using the link provided.","Limited Time Offer: 50% Off on Select Items, Use Code: SAVE20",spam,2021-03-10
"Become a millionaire with our endorsed investment scheme, designed by celebrity experts. Click here to start your journey to riches!","Your Order Has Been Delivered, Please Verify the Invoice",spam,2023-06-25
Transform your body with our revolutionary pills. Guaranteed results. Order now and get a money-back guarantee!,Congratulations: You've Been Selected for Our Monthly Draw,spam,2021-12-21
We've updated your personal details to ensure your account remains secure. Please confirm the changes by clicking the link below.,Incredible Deal on Luxury Watches - Act Now!,spam,2020-06-26
"You are entitled to a portion of an inheritance. Click the link to receive your share of $500,000 within 48 hours!",You've Won a Free Trip to Bahamas! Claim before it's gone!,spam,2021-01-21
"Advance to the next level of poker! Register for our top-tier online poker tournament and compete for the grand prize of $100,000!",Important Account Verification Required - Immediate Attention Needed,spam,2023-02-23
Warning: Critical security patch available. Your device's safety is our priority. Click the link to download and install immediately.,Celebrity Endorsement: Instant Millionaire Opportunity - Join Now!,spam,2020-08-03
Limited access only: Introducing a private social club for elite members. Request your invitation today and start networking with the most influential people in town!,Guaranteed Weight Loss Pills - Try Before You Pay,spam,2021-12-12
Congratulations! You are the lucky winner of our Exclusive Deal: Unlimited Gold Access. Click the link below to claim your prize before it's too late.,Urgent: Update Your Birthdate/Address for Your Account,spam,2021-06-12
